actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
1,150,0.34518105,0.0,0.0,0.0,150,0.0,0.348058,0.6912891,0.6912891,0.6912891,0.69323903,0.6912891,0.6912891,0.6912891,0.3410278,0.6912891,0.6912891,0.6912891,27.587045157522187,0.0,nan
64,9600,0.01108706,0.09979307,0.16847089,0.16847089,150,0.0,0.6443107,0.58434623,0.514869,0.514869,0.6553978,0.6841394,0.68333995,0.68333995,0.42166457,0.34683543,0.35851702,0.35851702,213.7804490185365,0.0,0.0
132,19800,0.013693571,0.1752474,0.22043915,0.20680982,150,0.0,0.65517294,0.5073178,0.4615897,0.4753879,0.6688665,0.6825651,0.6820287,0.68219775,0.191426,0.24626267,0.3056078,0.32347184,326.6512187916494,0.0,0.0
212,31800,0.21642831,0.22637126,0.27428636,0.23437132,150,0.0,0.48740754,0.45669657,0.4057273,0.44711605,0.70383584,0.6830678,0.68001384,0.6814875,0.20867702,0.30336505,0.26273295,0.30299062,327.4620330842283,0.0,0.0
304,45600,0.049808264,0.24897674,0.2171783,0.22911744,150,0.0,0.61049396,0.4375298,0.46797368,0.45351225,0.6603022,0.6865065,0.6851519,0.6826297,0.27842826,0.3080057,0.3066125,0.30432186,354.5459002508297,0.0,0.0
398,59700,-0.050215244,0.12723841,0.16193055,0.21217223,150,0.0,0.70854914,0.55318475,0.52161294,0.4705903,0.6583339,0.68042314,0.6835436,0.6827625,0.31301397,0.43947998,0.33947062,0.31301394,276.4375490189617,0.0,0.0
476,71400,-0.07801157,-0.041071165,0.08543512,0.18819414,150,0.0,0.780013,0.71724,0.5954744,0.4941901,0.70200145,0.6761688,0.6809095,0.68238425,0.6027591,0.39653373,0.3987653,0.32754952,348.42083927283846,0.0,0.0
566,84900,0.39033595,0.0014024914,0.01094265,0.1620006,150,0.0,0.26661292,0.6777479,0.6678345,0.5198482,0.65694886,0.67915046,0.6787772,0.68184876,0.24855961,0.43569526,0.4490916,0.34719038,362.4743258760025,0.0,0.0
653,97950,0.089064,0.024475913,0.06869724,0.15034044,150,0.0,0.60867655,0.6620536,0.61738515,0.5322267,0.69774055,0.6865295,0.68608236,0.68256706,0.4122197,0.4333631,0.40426242,0.35424373,308.4821288480246,0.0,0.0
738,110700,0.101611435,0.10768149,0.058483053,0.14016241,150,0.0,0.57490534,0.57234657,0.62467176,0.5424004,0.6765168,0.6800281,0.6831549,0.6825628,0.42507428,0.43461102,0.44035983,0.36435345,353.6892381363036,0.0,0.0
