actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
2,300,0.06184858,150,0.0,1,150,0.62254244,0.684391,0.5396034,27.409581078120922,0.0,nan
8,1200,0.26492137,150,0.0,3,450,0.42146415,0.6863855,0.32167327,219.64659396150057,0.0,0.0
14,2100,-0.0894894,150,0.0,5,750,0.7898802,0.7003908,0.5282429,226.08958765987464,0.0,0.0
26,3900,0.18898821,150,0.0,7,1050,0.5130173,0.7020055,0.5130173,212.91214685575477,0.0,0.0
32,4800,0.074159026,150,0.0,9,1350,0.5919806,0.6661396,0.2694687,227.35540254275568,0.0,0.0
42,6300,0.11132741,150,0.0,11,1650,0.5693803,0.6807077,0.30627784,236.50552050562126,0.0,0.0
50,7500,0.17219737,150,0.0,13,1950,0.48299256,0.65518993,0.39231366,213.88612196914633,0.0,0.0
58,8700,0.11747521,150,0.0,15,2250,0.5490873,0.6665625,0.32110327,243.267646936001,0.0,0.0
68,10200,0.19657919,150,0.0,17,2550,0.48829845,0.68487763,0.26504084,213.32573811764107,0.0,0.0
76,11400,0.26874477,150,0.0,19,2850,0.4462279,0.7149727,0.4447923,107.75851305057809,0.0,0.0
80,12000,0.21762574,150,0.0,20,3000,0.43742138,0.6550471,0.43742138,141.26056542791036,0.0,0.0
88,13200,0.23987794,150,0.0,23,3450,0.46950513,0.7093831,0.35902938,353.2390532464645,0.0,0.0
96,14400,0.15855032,150,0.0,26,3900,0.501455,0.66000533,0.20144413,313.0663248448466,0.0,0.0
109,16350,0.2859397,150,0.0,29,4350,0.39422345,0.68016315,0.2546676,304.03832799255014,0.0,0.0
118,17700,0.3672309,150,0.0,31,4650,0.33291447,0.70014536,0.3040137,273.37955811403936,0.0,0.0
128,19200,0.09453827,150,0.0,34,5100,0.608745,0.70328325,0.3111942,341.3622246674523,0.0,0.0
142,21300,0.13600367,150,0.0,37,5550,0.53369516,0.66969883,0.22524664,318.5390894725677,0.0,0.0
154,23100,0.14891958,150,0.0,40,6000,0.53867006,0.68758965,0.2738845,316.38457627604475,0.0,0.0
163,24450,0.30979478,150,0.0,43,6450,0.35134256,0.66113734,0.19834858,313.4561125988665,0.0,0.0
172,25800,0.3949997,150,0.0,45,6750,0.28261557,0.6776153,0.24780858,280.09917400996284,0.0,0.0
181,27150,0.3934325,150,0.0,47,7050,0.285312,0.6787445,0.2509027,262.09955228425844,0.0,0.0
