actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
76,3.0594285,11400,0.9844682,0.004272461,5.638861,-0.016141206,19,2850,1,0,-3.6946707,-3.6932662,8.060233,0.0
148,71.38701,22200,0.99493456,0.5202637,1.3129982,-29.355608,37,5550,174,10.015630722045898,-164.0737,-1.2884178,3.9497218,2835.515913340164
222,118.28074,33300,0.9931371,0.6176758,1.0979578,-30.789501,58,8700,365,20.041382312774658,-261.61304,-0.9634377,12.03203,1864.445852086459
315,140.88544,47250,0.99625945,0.6937256,0.74628973,-27.38206,79,11850,568,30.107800006866455,-320.74335,-0.7038902,3.068277,798.7866711897493
406,161.435,60900,0.99649835,0.7609253,0.5994196,-16.907845,102,15300,768,40.148521900177,-358.7099,-0.53234464,3.0803552,1528.5973725720207
482,168.45534,72300,0.9964185,0.7944336,0.5286156,-25.246387,121,18150,967,50.17202043533325,-373.2547,-0.47064143,6.2446685,1866.9874530532759
575,166.79694,86250,0.9969318,0.79901123,0.44285914,-24.89307,145,21750,1168,60.3083074092865,-371.07413,-0.41475368,2.424079,381.4076345335762
658,172.14879,98700,0.997108,0.8421631,0.3533968,-14.771297,166,24900,1369,70.31979846954346,-385.51215,-0.34534848,2.6242247,1653.7219600547062
742,167.36227,111300,0.9973769,0.8682251,0.3053066,-15.423315,187,28050,1573,80.32492184638977,-397.93927,-0.28402734,2.1578424,981.1380868141347
832,171.25826,124800,0.9973283,0.8596802,0.31623298,-26.038685,211,31650,1780,90.32564282417297,-391.51065,-0.29954982,1.9010758,1993.5497133351157
913,198.70789,136950,0.9973595,0.8843994,0.283069,-22.025316,232,34800,1986,100.35019755363464,-429.86945,-0.25379676,2.7547123,2374.946526524401
1008,152.88712,151200,0.99737453,0.8903198,0.3162592,-30.761654,256,38400,2183,110.41825342178345,-380.38025,-0.28842372,2.3478928,323.8809617173559
1088,76.77693,163200,0.9972391,0.8713379,0.35334855,-28.587902,276,41400,2370,120.50256133079529,-289.23517,-0.33259767,2.4388843,662.1855552101989
